"condition_c","condition_c2","dummy_neg","dummy_pos","est","conf.low","conf.high"
-0.5,0.25,1,0,0.122970512406241,0.0370602790682632,0.338105771802206
-0.49,0.2401,1,0,0.132577201556781,0.0413967716347255,0.35104512339079
-0.48,0.2304,1,0,0.142626177263815,0.0461266962147991,0.363974478564665
-0.47,0.2209,1,0,0.153105001390461,0.0512690699232476,0.376866935447583
-0.46,0.2116,1,0,0.163997728767832,0.056841442503766,0.389696350162792
-0.45,0.2025,1,0,0.175284954336684,0.0628595141749616,0.402437509804218
-0.44,0.1936,1,0,0.186943921526892,0.0693367462659584,0.415066285288812
-0.43,0.1849,1,0,0.198948691409769,0.0762839740076647,0.427559762742155
-0.42,0.1764,1,0,0.211270370184736,0.0837090319982173,0.439896352640196
-0.41,0.1681,1,0,0.22387739062117,0.0916164037033791,0.452055876474658
-0.4,0.16,1,0,0.236735841269245,0.100006906788715,0.464019631212031
-0.39,0.1521,1,0,0.249809835675381,0.108877426026689,0.475770432263303
-0.38,0.1444,1,0,0.263061912571184,0.1182207049167,0.487292636064803
-0.37,0.1369,1,0,0.276453457113019,0.128025205968244,0.498572143684273
-0.36,0.1296,1,0,0.289945132772639,0.138275047833356,0.509596387108788
-0.35,0.1225,1,0,0.303497313431454,0.148950025182592,0.520354300043534
-0.34,0.1156,1,0,0.317070505599398,0.160025714490224,0.530836275156437
-0.33,0.1089,1,0,0.330625751426981,0.171473665859252,0.541034109748952
-0.32,0.1024,1,0,0.344125004248497,0.183261677836578,0.550940941825058
-0.31,0.0961,1,0,0.357531469712972,0.195354149024,0.560551178476636
-0.3,0.09,1,0,0.370809907045881,0.207712497367099,0.56986041841231
-0.29,0.0841,1,0,0.383926886555166,0.220295635476404,0.578865370336821
-0.28,0.0784,1,0,0.396851001069196,0.233060488352141,0.587563768746961
-0.27,0.0729,1,0,0.409553030500162,0.245962538555609,0.595954288555361
-0.26,0.0676,1,0,0.422006060104127,0.258956383259236,0.604036459791437
-0.25,0.0625,1,0,0.434185554213191,0.271996287724824,0.611810583465084
-0.24,0.0576,1,0,0.446069388215848,0.28503672056572,0.619277649517918
-0.23,0.0529,1,0,0.457637842343252,0.298032857559976,0.626439257632555
-0.22,0.0484,1,0,0.468873561380124,0.310941042679,0.633297541525363
-0.21,0.0441,1,0,0.479761484768717,0.323719197238844,0.63985509721422
-0.2,0.04,1,0,0.490288751731187,0.336327170518398,0.646114915631214
-0.19,0.0361,1,0,0.500444586024197,0.348727027673317,0.652080319841426
-0.18,0.0324,1,0,0.510220164787919,0.360883273173316,0.657754907032976
-0.17,0.0289,1,0,0.519608475689204,0.372763010192573,0.663142495359876
-0.16,0.0256,1,0,0.528604166214649,0.384336038304743,0.668247075647136
-0.15,0.0225,1,0,0.537203388570691,0.395574893420792,0.673072767905924
-0.14,0.0196,1,0,0.545403643218847,0.406454835133361,0.677623782554119
