subject,survey_code,curTime,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,phase,blueTask,redTask,phaseRunTime,corrected_effort_units,choiceTrial,experimentRunTimeMins,phaseRunTimeMins,condition,difference,difficulty,cuedResponseKey,choiceResponseKey,leftDeckId,rightDeckId,riskyDeckSwitchTop,riskyDeckSwitchBottom,safeDeckSwitch,selectedDeckLocation,outcomeSwitch,selectedRiskyDeck,chosenDeckId,choiceRt
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,14,1449,1,HM,Moderate,Harder than Reference,,F,riskyDeck,safeDeck,8,12,10,right,10,0,safeDeck,655
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,15,1449,1,HE,Extreme,Harder than Reference,,F,riskyDeck,safeDeck,8,14,11,right,11,0,safeDeck,461
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,16,1449,1,EM,Moderate,Easier than Reference,,D,safeDeck,riskyDeck,8,4,6,left,6,0,safeDeck,514
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,17,1449,1,HE,Extreme,Harder than Reference,,D,safeDeck,riskyDeck,8,14,11,left,11,0,safeDeck,485
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,18,1449,1,HM,Moderate,Harder than Reference,,F,riskyDeck,safeDeck,12,8,10,right,10,0,safeDeck,445
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,19,1449,1,EE,Extreme,Easier than Reference,,F,riskyDeck,safeDeck,2,8,5,right,5,0,safeDeck,429
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,20,1449,1,EM,Moderate,Easier than Reference,,D,safeDeck,riskyDeck,4,8,6,left,6,0,safeDeck,414
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,21,1449,1,HE,Extreme,Harder than Reference,,F,riskyDeck,safeDeck,8,14,11,right,11,0,safeDeck,384
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,22,1449,1,EM,Moderate,Easier than Reference,,F,riskyDeck,safeDeck,8,4,6,right,6,0,safeDeck,456
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,23,1449,1,EE,Extreme,Easier than Reference,,D,safeDeck,riskyDeck,2,8,5,left,5,0,safeDeck,472
