"condition_c","condition_c2","dummy_neg","dummy_pos","est","conf.low","conf.high"
-0.5,0.25,1,0,0.00181037657407944,0.000144359064743702,0.0222752000665353
-0.49,0.2401,1,0,0.00233561143804217,0.000200279073558905,0.0266309832537049
-0.48,0.2304,1,0,0.00299847427678167,0.00027608865806814,0.0317135159136901
-0.47,0.2209,1,0,0.0038304893609203,0.000378163730652868,0.0376138055769284
-0.46,0.2116,1,0,0.00486906845305337,0.000514666218484439,0.0444268977776047
-0.45,0.2025,1,0,0.00615822667111291,0.000695955171505953,0.0522500825087718
-0.44,0.1936,1,0,0.00774926920208449,0.000935063261186911,0.0611805587808883
-0.43,0.1849,1,0,0.00970140223068549,0.00124823948759138,0.0713125416749501
-0.42,0.1764,1,0,0.0120822080443823,0.00165555504639817,0.082733835677707
-0.41,0.1681,1,0,0.0149679101011091,0.00218156398533305,0.0955219489792668
-0.4,0.16,1,0,0.0184433400931875,0.00285600328625891,0.109739883481695
-0.39,0.1521,1,0,0.0226015075350298,0.00371450819402258,0.125431799669044
-0.38,0.1444,1,0,0.0275426656792093,0.00479930794685836,0.142618816711082
-0.37,0.1369,1,0,0.0333727688514736,0.00615985471651092,0.161295256467243
-0.36,0.1296,1,0,0.04020122931073,0.00785332500904227,0.1814256646348
-0.35,0.1225,1,0,0.0481379102513525,0.0099449188924313,0.202942933259994
-0.34,0.1156,1,0,0.0572893386260948,0.0125078696154882,0.225747799651496
-0.33,0.1089,1,0,0.0677541883547252,0.015623066491431,0.249709906558067
-0.32,0.1024,1,0,0.0796181694393573,0.0193781900001051,0.274670483738969
-0.31,0.0961,1,0,0.0929485555638413,0.02386626310006,0.30044656558003
-0.3,0.09,1,0,0.10778868105583,0.0291835401373208,0.326836512585082
-0.29,0.0841,1,0,0.124152822233243,0.0354266875522379,0.353626477888964
-0.28,0.0784,1,0,0.142021929982471,0.0426892607128287,0.380597372568146
-0.27,0.0729,1,0,0.161340682367457,0.0510575483411583,0.4075318481955
-0.26,0.0676,1,0,0.182016265688084,0.0606059366053021,0.434220835408225
-0.25,0.0625,1,0,0.203919166888672,0.0713920314870575,0.460469247279006
-0.24,0.0576,1,0,0.226886079509721,0.083451858927598,0.486100562296754
-0.23,0.0529,1,0,0.25072481234411,0.0967955229242345,0.510960125746026
-0.22,0.0484,1,0,0.275220876876211,0.111403726950484,0.534917131831597
