"screen_width","window_height","age","totalTime_mins","comments","window_width","race","vision","curTime","gender","ethnicity","screen_height","subject"
1440,1007,45,28,"",1360,"white","normal","25/07/2019@10:37:09","male","not_hispanic",900,60
1920,1010,52,33,"I like these types of tests, thank you.",1459,"white","corrected","25/07/2019@20:10:12","female","not_hispanic",1080,61
1366,1007,51,37,"none",1266,"white","normal","25/07/2019@17:59:57","male","not_hispanic",768,62
1536,1009,24,21,"Nothing to report.",1453,"white","normal","25/07/2019@20:08:29","male","hispanic",864,63
1600,1010,29,26,"none",1203,"indian","normal","25/07/2019@23:33:05","female","hispanic",900,64
1280,1005,48,25,"No thank you!",1197,"white","corrected","25/07/2019@18:42:48","female","not_hispanic",720,65
1440,1005,28,27,"",1390,"white","corrected","25/07/2019@21:02:37","female","not_hispanic",900,66
1600,1001,41,30,"Interesting!",1672,"white","normal","25/07/2019@17:54:59","female","not_hispanic",900,67
1280,1004,21,34,"Very underpaid",1612,"white","normal","25/07/2019@15:22:05","female","hispanic",720,68
1440,1007,66,51,"Very nice but very hard !",1356,"white","normal","26/07/2019@09:27:41","male","not_hispanic",900,69
1920,1010,29,25,"",1459,"white","corrected","25/07/2019@16:59:02","male","not_hispanic",1080,70
1536,1007,29,24,"",1975,"white","corrected","25/07/2019@20:51:35","male","not_hispanic",864,71
1366,675,44,40,"It was much more difficult with the switching.  Also, I never fully got down that 1 or 3, regardless of color, would be J, while 6 and 8, regardless of color, would be K and I feel like that should have become easier as the trials progressed, but it didn't.",1284,"white","corrected","25/07/2019@15:47:13","female","not_hispanic",768,72
1366,1015,41,32,"",1282,"white","normal","25/07/2019@20:56:31","male","not_hispanic",768,73
1920,1007,30,29,"N/A",1836,"white","normal","25/07/2019@17:27:17","female","not_hispanic",1080,74
1366,1007,35,37,"Interesting.",1282,"white","normal","25/07/2019@22:06:01","female","not_hispanic",768,75
2048,1005,56,34,"",1998,"white","corrected","25/07/2019@17:36:41","male","not_hispanic",1152,76
